name|type|category|requirement_race|requirement_subrace|requirement_class|requirement_alignment|requirement_other|requirement_faith|requirement_place|description|description_list|source
Chain Master|Race||Tiefling|||||||You gain a +2 trait bonus on combat maneuver checks made to trip opponents with a spiked chain or whip.||
Chance Savior|Campaign|Carrion Crown||||||||You gain a +2 trait bonus on Initiative checks.||
Channel the Earth (Plane of Earth)|Regional|||||||||Whenever you channel positive energy to heal living creatures, affected targets gain a +2 profane bonus to CMD to resist bull rush, reposition, and trip combat maneuvers. Alternately, if you channel negative energy to harm living creatures, affected targets take a –2 penalty to CMD against such combat maneuvers. This effect lasts 1 round.||Pathfinder Player Companion: Blood of the Elements
Charlatan|Basic|Magic|Gnome|||Non-lawful||||As a swift action, you may expend one prepared spell or spell slot to gain a bonus on the next Bluff check you make, provided the check takes place before the beginning of your next turn. The bonus on this check is equal to the level of the spell consumed. You may use this ability 3 times per day.||
Charming|Basic|Social||||||||You gain a +1 trait bonus when you use Bluff or Diplomacy on a character that is (or could be) sexually attracted to you, and a +1 trait bonus to the save DC of any language-dependent spell you cast on such characters or creatures.||
Cheap to Feed|Regional|||||||||You gain a +3 trait bonus on Bluff checks made in order to gain food, water, or shelter.||
Cheat Death|Religion|||||||Piracy, strife, sea monsters||Once per day, when you would be reduced to 0 or fewer hit points as a result of a failed ability check, skill check, or saving throw on your part, you may invoke this ability in order to reroll the failed check. You must take the result of the second roll, even if it is worse than the original.||
Child of Infamy|Campaign|Council of Thieves||||||||You gain a +1 trait bonus on Perform (act) skill checks, and the skill is always considered a class skill for you. Furthermore, you begin play with an additional 300 gp.||
Child of Nature|Religion|||||||Nature, Weather, the sea||You gain a +2 trait bonus on Survival checks to find food and water, and a +1 trait bonus on Knowledge (nature) checks. One of these skills (your choice) is always a class skill for you.||
Child of the Crusades|Regional|||||||||You have inherited their indomitable spirit, and you gain a +2 trait bonus on all saving throws against fear.||
Child of the Moon|Basic|Magic||||||||Choose either Climb, Stealth, or Swim. You gain a +1 trait bonus on checks made with the chosen skill. On dates during and after the first quarter of a lunar phase but before end of the last quarter (the half of the lunar cycle where the moon is fuller), this bonus increases to +2. During the full moon, this bonus increases to +4.||
Child of the Necropolis|Regional|||||||||Your effective cleric level is 1 higher for the purposes of channeling positive energy to damage undead. Your effective cleric level cannot exceed your character level.||Pathfinder Player Companion: Undead Slayer's Handbook
Child of the Streets|Basic|Social||||||||You gain a +1 trait bonus on Sleight of Hand checks, and Sleight of Hand is always a class skill for you.||
Child of the Temple|Basic|Faith||||||||You gain a +1 trait bonus on Knowledge (nobility and royalty) and Knowledge (religion) checks, and one of these skills (your choice) is always a class skill for you.||
Child of Zolurket|Race||Dwarf|||||||You gain a +1 trait bonus to weapon damage against undead.||
Childhood Crush|Campaign|Jade Regent||||||||You gain a +1 trait bonus on all attack rolls against foes that threaten your crush. Once per day, you may attempt to earn a kind word or a smile from the NPC whom you have a crush on by making a DC 15 Charisma check. If you’re successful, the elation and joy at the attention gives you a +1 trait bonus on all saving throws for the remainder of the day. If you’re ever lucky enough to win the NPC’s love, this +1 trait bonus on saving throws applies at all times, as long as your relationship remains active.||
Chip on the Shoulder|Basic|Social||||||||Whenever a creature fails an Intimidate check against you, you gain a +2 trait bonus on your next Intimidate check against that creature and Intimidate is a class skill for you.||
Chivalrous|Regional|||||||||You gain a +1 trait bonus to Diplomacy and Knowledge (history) checks.||
Chosen Child|Regional|||||||||Your starting money increases by 900 gp.||
Chosen One|Basic|Faith||||||||You may cast light once per day as a spell-like ability (caster level 1st), and you begin play with a masterwork longsword. In addition, whenever light is cast upon this sword, the radius of light and its duration is doubled.||
Citizen of Eleder|Regional||||||||A chosen region.|You gain a +1 trait bonus on all Knowledge (local) and Knowledge (nobility) checks regarding the chosen region.||
Citizen of Kalabuto|Regional||||||||A chosen region.|You gain a +1 trait bonus on all Knowledge (local) and Knowledge (history) checks regarding the chosen region.||
Civilized|Basic|Social||||||||You gain a +1 trait bonus on Knowledge (nobility) checks and Knowledge (local) checks. Knowledge (local) is always a class skill for you.||
Clan Artisan|Regional|||||||||Choose a Craft skill. You gain a +2 trait bonus on checks with the chosen skill, and it becomes a class skill for you.||
Classically Schooled|Basic|Magic||||||||You gain a +1 trait bonus on Spellcraft checks, and Spellcraft is always a class skill for you.||
Cleansing Light|Religion|||||||Sun, redemption, honesty, healing||When dealing damage to undead with your channel energy, you can reroll any damage die that shows a natural 1.||
Cleansing the Twisted|Religion|||||||Sun, redemption, honesty, healing||You gain a +1 trait bonus to slashing weapon damage against aberrations.||
Clearheaded|Race||Dwarf|||||||You gain a +1 trait bonus on opposed checks against the Bluff and Disguise skills and a +1 trait bonus on saving throws against illusion effects.||
Clergy Member|Race||Aasimar|||||||You receive a +1 trait bonus on Diplomacy checks when interacting with ordained members of your religion, and once per week you can request aid from a temple of your faith. The GM has final say in what sort of aid you can reasonably request, but in general you may ask for the casting of a 1st-level spell or for a non-magical item worth 50 gp or less.||
Clever Wordplay|Basic|Social||||||||Choose one Charisma-based skill. You attempt checks with that skill using your Intelligence modifier instead of your Charisma modifier.||
Cliff Jumper|Regional|||||||||You gain a +1 trait bonus on Acrobatics and Climb checks, and on Reflex saving throws to avoid falling.||
Cliff-Master|Regional|||||||||You gain a +1 trait bonus on all Climb and Survival checks.||
Clumsy Slave|Regional|||||||||The first time you attack someone with an attack that deals nonlethal damage, your target must make a Sense Motive opposed by your Bluff check minus the damage dealt to realize you actually intended to harm him; failure means he believe the injury was an accident on your part instead (though he may still want to punish you for it).||
Coherent Rage|Basic|Combat|||||Ulfen Guard|||Select one of the following skills: Bluff, Escape Artist, Handle Animal, or Stealth. You may use this skill normally while raging.||
Coin Hoarder|Regional||Dwarf|||||||Your starting cash increases to 500 gp.||
Coincunning|Regional|||||||||You receive a +2 trait bonus on Perception checks to notice coins, gems, jewelry, and valuable trade goods. You gain a chance to notice such goods whenever you pass within 10 feet of them, whether or not you are actively looking.||
Cold and Calculating|Basic|Combat||||||||You gain a +1 trait bonus on all Bluff checks against favored enemies that share one of your subtypes. You also gain a +1 trait bonus on attack rolls made against such favored enemies during the surprise round.||
Cold Fortitude|Race||Kobold|White-Scaled||||||You gain a +4 trait bonus on Fortitude saving throws against nonlethal cold damage.||
Cold Heart|Regional|||||||||You gain a +2 trait bonus on saving throws against spells and effects with the emotion descriptor.||
